City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
97,San Quintin,MX,79.88,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
98,Gamba,GA,76.51,broken clouds,-2.65,10.0,
99,Korla,CN,85.17,clear sky,41.7597,86.1469,Gulisitan Hotel
100,Nurota,UZ,84.29,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
101,Lorengau,PG,80.74,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
110,Biltine,TD,87.19,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
114,Sattahip,TH,82.49,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
117,Wismar,DE,80.74,broken clouds,53.9,11.4667,Townhouse Wismar a Vagabond Club
118,Limoges,FR,83.01,clear sky,45.75,1.3333,Hôtel Le Saint Eloi Logis & SPA - Restaurant C. Pasquier
122,Vadinsk,RU,75.2,light rain,53.6916,43.0574,
124,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
126,Padang,ID,76.98,scattered clouds,-0.9492,100.3543,Mercure Padang
127,Harper,LR,78.69,light rain,4.375,-7.7169,Screensaver
130,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
132,Karwar,IN,77.9,overcast clouds,14.8,74.1333,Netalco Connects
134,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
136,Lasa,IT,82.31,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
138,Takoradi,GH,78.91,broken clouds,4.8845,-1.7554,Raybow International Hotel
139,Vila,PT,80.71,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
150,Meulaboh,ID,76.62,overcast clouds,4.1363,96.1285,Kost Pria
151,Warri,NG,79.57,overcast clouds,5.5167,5.75,BON Hotel Delta
154,Bandarbeyla,SO,75.52,few clouds,9.4942,50.8122,JABIR HOTEL
159,Hefei,CN,75.15,overcast clouds,31.8639,117.2808,Jinhuan Hotel
163,Bokoro,TD,76.91,moderate rain,12.3807,17.0568,
164,Makokou,GA,77.97,overcast clouds,0.5738,12.8642,Motel des voyageurs
166,Ninghai,CN,77.29,overcast clouds,29.2892,121.4247,Kaiyuan New Century Hotel
168,Bengkulu,ID,75.47,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
172,Cervo,ES,83.19,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
174,Biak,ID,75.25,broken clouds,-0.9131,122.8766,Penginapan Kim
